"AJ000037907"	136.86377332130866
"AQC00914873"	259.40332828189344
"AR000087270"	201.69020682156025
"AR000087344"	175.24015197558194
"AR000087418"	173.53702260413982
"AR000087715"	150.74343180436219
"AR000087803"	86.849591493367711
"ASN00001019"	271.28177048481479
"ASN00002012"	267.38067445523171
"ASN00002056"	280.87087728922006
"ASN00003002"	266.49582191735789
"ASN00003057"	266.33756160571841
"ASN00003093"	279.27137924366673
"ASN00004083"	264.89532942354396
"ASN00005026"	263.22555410773185
"ASN00005051"	247.859308312574
"ASN00005084"	255.06036656320046
"ASN00007017"	216.34313675655554
"ASN00007064"	222.07259390656048
"ASN00007185"	255.78391608415694
"ASN00007600"	215.97946891713534
"ASN00008249"	190.99359120071625
"ASN00008296"	201.61243387814966
"ASN00009514"	170.95325238572875
"ASN00009569"	169.88107538326466
"ASN00009572"	182.87072086334695
"ASN00009778"	157.20948065142255
"ASN00009789"	169.20418736144566
"ASN00009877"	164.28294130453662
"ASN00009965"	169.78958308075374
"ASN00009998"	158.70688592350169
"ASN00010152"	174.87420844646061
"ASN00010592"	166.77119744873008
"ASN00010622"	156.69482224654092
"ASN00010633"	165.09005283149628
"ASN00010905"	154.87608650205536
"ASN00010916"	158.76443009799459
"ASN00012008"	203.22058774058743
"ASN00012022"	197.84561722682065
"ASN00012044"	166.20156612535411
"ASN00012239"	210.16298842551336
"ASN00012242"	192.33980133387769
"ASN00012305"	203.31540293101324
"ASN00013001"	229.68557010087247
"ASN00013012"	219.09250779060756
"ASN00014035"	275.95745369246947
"ASN00014109"	269.8352242422485
"ASN00014277"	273.92128171508421
"ASN00014626"	264.17168227637575
"ASN00014703"	274.76219148378658
"ASN00014835"	243.84273411597889
"ASN00014901"	269.52395368059518
"ASN00014909"	260.02020581647935
"ASN00015135"	257.68804673940804
"ASN00015528"	227.18669525058016
"ASN00015652"	229.44570318636983
"ASN00017005"	197.20747807555762
"ASN00017096"	218.60367704976886
"ASN00017126"	212.55035557563227
"ASN00018116"	169.12225642500809
"ASN00021020"	159.98189409254223
"ASN00022018"	163.23264989650906
"ASN00022029"	156.384076938427
"ASN00022807"	157.10355988289896
"ASN00023000"	168.70138848171194
"ASN00023745"	133.0268382974879
"ASN00024023"	162.69141970852982
"ASN00024045"	163.20157635816554
"ASN00024584"	157.91580742713123
"ASN00026036"	145.752692138008
"ASN00027015"	262.27535576956876
"ASN00027073"	262.06543890600989
"ASN00029028"	254.54251680202117
"ASN00029039"	262.83168322650653
"ASN00029127"	244.62223075974242
"ASN00029141"	257.97223278921291
"ASN00030161"	249.09158956621135
"ASN00031016"	256.37230566227055
"ASN00031052"	244.65677355336655
"ASN00032141"	247.26222551280523
"ASN00033007"	245.63044635578242
"ASN00033065"	229.313824528743
"ASN00033090"	236.19097714435847
"ASN00033106"	238.84378632075013
"ASN00035070"	209.09224277951157
"ASN00035290"	231.93835485361285
"ASN00037036"	245.54446616575504
"ASN00038026"	239.015782797605
"ASN00039085"	223.59912325076112
"ASN00039104"	200.38895796682854
"ASN00040014"	195.17769806821909
"ASN00040209"	218.4363277153555
"ASN00040223"	204.92262384100272
"ASN00040308"	172.2258133228672
"ASN00040418"	197.39025218260335
"ASN00040454"	194.51440115050451
"ASN00040850"	195.29246564200932
"ASN00040861"	204.50630195890363
"ASN00040913"	212.49106278601292
"ASN00041095"	152.87963985348691
"ASN00041103"	170.90850029996037
"ASN00041521"	199.33655252970479
"ASN00041529"	176.80433324293125
"ASN00043020"	197.93551526553284
"ASN00044010"	206.5967930702414
"ASN00044021"	206.77731733304338
"ASN00045000"	217.70394691767714
"ASN00046012"	194.71838899320059
"ASN00048245"	204.19917049651099
"ASN00051124"	177.12290854582869
"ASN00052026"	196.53043051150962
"ASN00053027"	193.02611340470457
"ASN00053030"	190.75222132606345
"ASN00053115"	192.08975434280461
"ASN00055054"	171.13397879975986
"ASN00056008"	132.11116189419096
"ASN00056011"	139.71950404113213
"ASN00056242"	155.34954276358968
"ASN00057009"	150.63771137538262
"ASN00058013"	191.22448275392185
"ASN00058057"	188.6556244447151
"ASN00058060"	165.07620671389384
"ASN00058208"	195.12051313578806
"ASN00059094"	189.92861477010797
"ASN00060009"	163.15590324896135
"ASN00060023"	179.18592536695431
"ASN00060034"	179.55509170381146
"ASN00061288"	176.84445874910384
"ASN00061390"	184.63465585153412
"ASN00063004"	136.46394019288874
"ASN00063062"	116.78814772638459
"ASN00063224"	125.43996116379587
"ASN00063293"	111.10658797152013
"ASN00065006"	163.27531636872232
"ASN00066131"	177.31991821256608
"ASN00067019"	176.23402549270426
"ASN00067033"	173.56988632284722
"ASN00068034"	168.78578165674872
"ASN00068045"	128.50876208536894
"ASN00068081"	170.35697846968336
"ASN00068188"	175.12311033947566
"ASN00069002"	150.98728319606391
"ASN00069093"	151.51566344202706
"ASN00069134"	157.34493139630689
"ASN00070080"	120.51454298026394
"ASN00070091"	138.95531434761654
"ASN00070206"	106.27599989921364
"ASN00070217"	110.31545980766151
"ASN00070220"	137.82217448492995
"ASN00070316"	115.64884364271164
"ASN00070330"	128.08883819824115
"ASN00070338"	133.05597947092343
"ASN00070349"	72.575150654051001
"ASN00072013"	130.60960585864268
"ASN00072035"	140.01585844128834
"ASN00072046"	138.5721064905469
"ASN00072060"	137.36699653376243
"ASN00073014"	161.02530217588375
"ASN00074037"	175.86949373620399
"ASN00074062"	164.42640425896082
"ASN00074114"	156.85947058997101
"ASN00075041"	166.401604054584
"ASN00076031"	169.94100760548082
"ASN00076064"	165.83551018126255
"ASN00077007"	155.48838664627937
