AG000060390,365,0
AG000060611,730,0
AG000060680,365,0
AGE00135039,26,0
AJ000037575,209,0
AJ000037639,37,0
AJ000037735,90,0
AJ000037749,83,0
AJ000037756,81,0
AJ000037759,100,0
AJ000037844,13,0
AJ000037860,20,0
AJ000037866,126,0
AJ000037895,33,0
AJ000037905,241,0
AJ000037925,13,0
AJ000037936,144,0
AJ000037978,12,0
AJ000037984,30,0
AJ000037985,588,0
AJ000037989,365,0
AM000037686,1095,0
AM000037711,78,0
AM000037719,63,0
AM000037774,10,0
AM000037781,1126,0
AM000037787,80,0
AM000037789,730,0
AM000037801,1095,0
AM000037815,38,0
AM000037958,77,0
AM000037959,46,0
AO000066270,25,0
AO000066390,1,0
AO000066422,1,0
AR000087007,7,0
AR000087078,729,0
AR000087129,1422,0
AR000087155,166,0
AR000087217,365,0
AR000087257,967,0
AR000087270,365,0
AR000087344,1186,0
AR000087418,421,0
AR000087534,534,0
AR000087623,727,0
AR000087692,363,0
AR000087715,530,0
AR000087803,217,0
AR000087828,729,0
AR000087925,5,0
AR000873050,364,0
AR000875440,148,0
AR000875850,730,0
AR000877500,365,0
ASN00001007,730,0
ASN00001009,364,0
ASN00001013,1059,0
ASN00001021,685,0
ASN00002012,365,0
ASN00002056,351,0
ASN00002064,363,0
ASN00003003,1095,0
ASN00003004,729,0
ASN00003007,346,0
ASN00003080,365,0
ASN00003093,365,0
ASN00004002,365,0
ASN00004020,365,0
ASN00004027,359,0
ASN00004032,365,0
ASN00004035,1080,0
ASN00004083,365,0
ASN00004084,362,0
ASN00004097,363,0
ASN00004106,363,0
ASN00005007,1093,0
ASN00005008,321,0
ASN00005016,365,0
ASN00005017,1067,0
ASN00005051,357,0
ASN00005061,364,0
ASN00005064,364,0
ASN00005069,312,0
ASN00005072,344,0
ASN00005084,275,0
ASN00005094,706,0
ASN00006011,365,0
ASN00006022,365,0
ASN00006062,365,0
ASN00006072,246,0
ASN00006087,344,0
ASN00007045,365,0
ASN00007046,360,0
ASN00007057,364,0
ASN00007062,365,0
ASN00007080,269,0
ASN00007139,460,0
ASN00007151,364,0
ASN00007176,362,0
ASN00007178,365,0
ASN00008025,708,0
ASN00008039,718,0
ASN00008051,1095,0
ASN00008093,688,0
ASN00008095,724,0
ASN00008151,730,0
ASN00008296,317,0
ASN00009021,365,0
ASN00009034,1095,0
ASN00009037,355,0
ASN00009038,365,0
ASN00009064,327,0
ASN00009106,323,0
ASN00009111,362,0
ASN00009131,350,0
ASN00009172,711,0
ASN00009192,233,0
ASN00009193,362,0
ASN00009197,116,0
ASN00009240,365,0
ASN00009500,365,0
ASN00009510,728,0
ASN00009515,699,0
ASN00009518,1073,0
ASN00009534,1087,0
ASN00009538,730,0
ASN00009541,363,0
ASN00009542,583,0
ASN00009573,365,0
ASN00009581,1083,0
ASN00009617,356,0
ASN00009631,669,0
ASN00009637,349,0
ASN00009746,349,0
ASN00009843,96,0
ASN00009964,336,0
ASN00009965,402,0
ASN00009998,333,0
ASN00010035,1091,0
ASN00010058,221,0
ASN00010073,365,0
ASN00010092,723,0
ASN00010111,699,0
ASN00010515,357,0
ASN00010524,342,0
ASN00010568,722,0
ASN00010579,365,0
ASN00010582,334,0
ASN00010612,556,0
ASN00010614,1068,0
ASN00010622,512,0
ASN00010633,327,0
ASN00010648,728,0
ASN00011003,354,0
ASN00011004,365,0
ASN00012009,22,0
ASN00012038,730,0
ASN00012039,365,0
ASN00012046,365,0
ASN00012071,641,0
ASN00012074,365,0
ASN00012281,298,0
ASN00012305,727,0
ASN00012320,344,0
ASN00013012,1350,0
ASN00013015,1042,0
ASN00013017,365,0
ASN00013030,324,0
ASN00014015,334,0
ASN00014042,359,0
ASN00014103,360,0
ASN00014153,344,0
ASN00014213,363,0
ASN00014276,129,0
ASN00014400,554,0
ASN00014402,319,0
ASN00014504,1023,0
ASN00014512,365,0
ASN00014517,365,0
ASN00014612,355,0
ASN00014618,365,0
ASN00014626,361,0
ASN00014633,363,0
ASN00014703,1080,0
ASN00014704,305,0
ASN00014711,365,0
ASN00014836,245,0
ASN00014840,362,0
ASN00014847,711,0
ASN00014901,340,0
ASN00014924,231,0
ASN00014932,653,0
ASN00014938,365,0
ASN00015085,1006,0
ASN00015087,364,0
ASN00015089,338,0
ASN00015135,728,0
ASN00015526,353,0
ASN00015528,347,0
ASN00015540,1095,0
ASN00015548,365,0
ASN00015590,730,0
ASN00015602,683,0
ASN00016001,365,0
ASN00016013,234,0
ASN00016032,365,0
ASN00016044,709,0
ASN00016085,145,0
ASN00017024,365,0
ASN00017031,697,0
ASN00017043,726,0
ASN00017099,354,0
ASN00017110,336,0
ASN00018012,730,0
ASN00018014,251,0
ASN00018040,342,0
ASN00018044,357,0
ASN00018069,691,0
ASN00018070,1095,0
ASN00018103,365,0
ASN00018120,336,0
ASN00018181,421,0
ASN00018201,365,0
ASN00019017,610,0
ASN00019062,358,0
ASN00021008,303,0
ASN00021014,365,0
ASN00021043,365,0
ASN00021046,1075,0
ASN00022006,726,0
ASN00022008,364,0
ASN00022803,730,0
ASN00022807,1060,0
ASN00022814,727,0
ASN00023000,730,0
ASN00023020,361,0
ASN00023034,365,0
ASN00023057,361,0
ASN00023103,181,0
ASN00023122,139,0
ASN00023321,364,0
ASN00023343,699,0
ASN00023373,362,0
ASN00023703,250,0
ASN00023733,723,0
ASN00023763,304,0
ASN00023785,355,0
ASN00023801,365,0
ASN00023887,353,0
ASN00023894,356,0
ASN00024018,182,0
ASN00024023,365,0
ASN00024048,137,0
ASN00024511,365,0
ASN00024518,640,0
ASN00024521,360,0
ASN00024536,267,0
ASN00024580,291,0
ASN00025050,365,0
ASN00025507,365,0
ASN00025509,1087,0
